  0.1335718E+04   -0.1035685E-03   -0.1035685E-03
  0.1213040E+04   -0.9493086E-04   -0.9493086E-04
  0.1201482E+04   -0.9754112E-04   -0.9754112E-04
  0.1188476E+04   -0.1098175E-03   -0.1098175E-03
  0.1177728E+04   -0.1128651E-03   -0.1128651E-03
  0.1164813E+04   -0.1047788E-03   -0.1047788E-03
  0.1155278E+04   -0.1073842E-03   -0.1073842E-03
  0.1132808E+04   -0.1042211E-03   -0.1042211E-03
  0.1044096E+04   -0.8140545E-04   -0.8140545E-04
  0.1032691E+04   -0.8375657E-04   -0.8375657E-04
  0.1011506E+04   -0.8972963E-04   -0.8972963E-04
  0.1001218E+04   -0.9215768E-04   -0.9215768E-04
  0.9909690E+03   -0.9435374E-04   -0.9435374E-04
  0.9816045E+03   -0.9832535E-04   -0.9832535E-04
  0.9634635E+03   -0.1018769E-03   -0.1018769E-03
  0.9576985E+03   -0.9790617E-04   -0.9790617E-04
  0.9528763E+03   -0.1104137E-03   -0.1104137E-03
  0.9134016E+03   -0.3351155E-03   -0.3351155E-03
  0.9104362E+03   -0.6894447E-03   -0.6894447E-03
  0.9092741E+03   -0.5464734E-03   -0.5464734E-03
  0.9077588E+03   -0.4585463E-03   -0.4585463E-03
  0.9063822E+03   -0.4740534E-03   -0.4740534E-03
  0.9044323E+03   -0.3711108E-03   -0.3711108E-03
  0.9031544E+03   -0.4650765E-03   -0.4650765E-03
  0.9006509E+03   -0.3664987E-03   -0.3664987E-03
  0.8924949E+03   -0.4802548E-03   -0.4802548E-03
  0.8942044E+03   -0.3592719E-03   -0.3592719E-03
  0.8988574E+03   -0.2519974E-03   -0.2519974E-03
  0.8963278E+03   -0.4169672E-03   -0.4169672E-03
  0.8974350E+03   -0.3867346E-03   -0.3867346E-03
  0.8976760E+03   -0.2737605E-03   -0.2737605E-03
  0.8755074E+03   -0.1617467E-03   -0.1617467E-03
  0.8584818E+03   -0.1500951E-03   -0.1500951E-03
  0.8338722E+03   -0.8927894E-04   -0.8927894E-04
  0.8256572E+03   -0.9370338E-04   -0.9370338E-04
  0.8193753E+03   -0.1398682E-03   -0.1398682E-03
  0.8112093E+03   -0.2124214E-03   -0.2124214E-03
  0.8125270E+03   -0.1916781E-03   -0.1916781E-03
  0.8044030E+03   -0.2053292E-03   -0.2053292E-03
  0.8045785E+03   -0.2193133E-03   -0.2193133E-03
  0.7971998E+03   -0.2144528E-03   -0.2144528E-03
  0.7986405E+03   -0.3149671E-03   -0.3149671E-03
  0.7909482E+03   -0.2535043E-03   -0.2535043E-03
  0.7882935E+03   -0.2020755E-03   -0.2020755E-03
  0.7871820E+03   -0.1109731E-03   -0.1109731E-03
  0.7821802E+03   -0.2302711E-03   -0.2302711E-03
  0.7764297E+03   -0.2007807E-03   -0.2007807E-03
  0.7514207E+03   -0.3372623E-03   -0.3372623E-03
  0.7466256E+03   -0.1493353E-03   -0.1493353E-03
  0.7318166E+03   -0.2128561E-03   -0.2128561E-03
  0.7277217E+03   -0.1388648E-03   -0.1388648E-03
  0.7270459E+03   -0.1602685E-03   -0.1602685E-03
  0.7259861E+03   -0.3078333E-03   -0.3078333E-03
  0.7232972E+03   -0.3674011E-03   -0.3674011E-03
  0.7224199E+03   -0.2390949E-03   -0.2390949E-03
  0.7209749E+03   -0.3885267E-03   -0.3885267E-03
  0.7196312E+03   -0.2498698E-03   -0.2498698E-03
  0.7180268E+03   -0.3312355E-03   -0.3312355E-03
  0.7159666E+03   -0.2632521E-03   -0.2632521E-03
  0.7125809E+03   -0.3123293E-03   -0.3123293E-03
  0.7094108E+03   -0.3303041E-03   -0.3303041E-03
  0.7071067E+03   -0.1316987E-03   -0.1316987E-03
  0.6993307E+03   -0.2181808E-03   -0.2181808E-03
  0.6965175E+03   -0.2021485E-03   -0.2021485E-03
  0.6932982E+03   -0.1505958E-03   -0.1505958E-03
  0.6822997E+03   -0.1700725E-03   -0.1700725E-03
  0.6779186E+03   -0.1805124E-03   -0.1805124E-03
  0.6731724E+03   -0.2045125E-03   -0.2045125E-03
  0.6706184E+03   -0.1079537E-03   -0.1079537E-03
  0.6686978E+03   -0.2592156E-03   -0.2592156E-03
  0.6695158E+03   -0.2425655E-03   -0.2425655E-03
  0.6663600E+03   -0.3149210E-03   -0.3149210E-03
  0.6652492E+03   -0.2687016E-03   -0.2687016E-03
  0.6647674E+03   -0.9414370E-04   -0.9414370E-04
  0.6608443E+03   -0.4881479E-03   -0.4881479E-03
  0.6617735E+03   -0.2508130E-03   -0.2508130E-03
  0.6572031E+03   -0.6005557E-03   -0.6005557E-03
  0.6555699E+03   -0.3000629E-03   -0.3000629E-03
  0.6563095E+03   -0.3901319E-03   -0.3901319E-03
  0.6495910E+03   -0.3217812E-03   -0.3217812E-03
  0.6484013E+03   -0.3495690E-03   -0.3495690E-03
