Real Imaginary
1.3116243890528807e+02 -2.3703746698963033e-13
1.3234504631645981e+02 1.1342766290468503e-15
1.3241384662817103e+02 -1.4723422127998881e-14
1.3270750847238006e+02 -4.5012290917310300e-14
1.3375228038119502e+02 6.6283064923309602e-13
1.3385240792406154e+02 -6.3150274306624127e-14
1.3435046660492131e+02 5.9886697451848486e-15
1.3454831241718276e+02 -6.3884581132085860e-15
1.3683501002549326e+02 -9.5631076325333281e-14
1.3693472502273826e+02 2.7676738871632597e-13
1.3737624095591394e+02 -2.4687476199977076e-13
1.3784751814113696e+02 1.7060085799118498e-14
1.3831541709107174e+02 -7.0668163920850991e-14
1.3852816165098918e+02 2.0018140639134279e-13
1.3920604687288102e+02 -6.8254437071535260e-14
1.4017248488413279e+02 -8.4965122510845260e-15
1.4036392411640495e+02 3.0620919940891575e-13
1.4125046195293459e+02 -1.8512407306002536e-13
1.4339924036559785e+02 4.7451013594876584e-16
1.4374884917083463e+02 3.7198827724583293e-14
1.4401526152097608e+02 1.1320078815305142e-15
1.4528786420210099e+02 -3.8275704050905856e-15
1.4657095817574526e+02 2.7182361715143340e-13
1.4805965143678884e+02 -1.1091656618507282e-13
1.4955217678550531e+02 -6.9213022325605773e-14
1.5056717720146213e+02 1.8187358443883880e-13
1.5085563392020791e+02 3.7335317706125610e-15
1.5140488753977112e+02 -4.2214467524472909e-15
1.5155249356983495e+02 -2.9704625540560576e-14
1.5257207412448594e+02 -5.3259540396605739e-14
1.5267306664108818e+02 8.2045860768876221e-15
1.5354262411435340e+02 5.5987879453103907e-14
1.5358429058682938e+02 2.1169625216166096e-13
1.5461379801680741e+02 2.2406040023898551e-13
1.5481263974632577e+02 -1.7073862333273703e-13
1.5488300824464179e+02 -8.7972250337279694e-15
1.5587901579282013e+02 7.1975210315783372e-15
1.5639686918223964e+02 -1.6710609676429237e-14
1.5720187226101410e+02 2.1267415703679469e-13
1.5897285777852602e+02 -3.7785552908883491e-13
1.6057060465041425e+02 -1.1170050940375790e-14
1.6086600853364141e+02 -3.3198208003514062e-15
1.6253610760773097e+02 -1.2112181800226911e-14
1.6400323422240646e+02 7.8415930943387090e-14
1.6465734869450668e+02 -2.4150144584681645e-17
1.6663346797683619e+02 1.6593865146562109e-13
1.6810089587077670e+02 7.4618954365588326e-15
1.6883896613541475e+02 1.2793446358583002e-13
1.6909884827737099e+02 4.1936719126949404e-14
1.7129051693661614e+02 3.2699094162979588e-13
1.7151269857929478e+02 -8.9835246808812208e-16
1.7153561394733634e+02 -3.3963083948552359e-13
1.7183551555922648e+02 1.1435881606908154e-12
1.7317838287830222e+02 -5.6345152678722812e-15
1.7459233884675660e+02 -3.0180063502813210e-13
1.7508805366070629e+02 1.1749032328110162e-14
1.7639359835978632e+02 -1.3732376464701210e-13
1.7757212173590520e+02 2.2543259616734584e-13
1.8068219737033775e+02 3.2093686182616703e-14
1.8105592656730587e+02 -3.8438441245242570e-13
1.8302894237173518e+02 4.3122036063216106e-13
1.8359411328482918e+02 -2.4860230207877603e-14
1.8429192567224712e+02 2.7116276609668786e-12
1.8437576720365556e+02 -1.1054468885528412e-14
